,S.No.,start,end,president,prior,party,vice
25,26,"September 14, 1901","March 4, 1909",Theodore Roosevelt,25th  Vice President of the United States,Republican,Office vacant
26,27,"March 4, 1909","March 4, 1913",William Howard Taft,42nd  United States Secretary of War   (1904–1908),Republican,James S. Sherman
27,28,"March 4, 1913","March 4, 1921",Woodrow Wilson,34th  Governor of New Jersey   (1911–1913),Democratic,Thomas R. Marshall
28,29,"March 4, 1921","August 2, 1923",Warren G. Harding,U.S. Senator   ( Class 3 )   from  Ohio   (1915–1921),Republican,Calvin Coolidge
29,30,"August 2, 1923","March 4, 1929",Calvin Coolidge,29th  Vice President of the United States,Republican,Office vacant
30,31,"March 4, 1929","March 4, 1933",Herbert Hoover,3rd  United States Secretary of Commerce   (1921–1928),Republican,Charles Curtis
31,32,"March 4, 1933","January 20, 1941",Franklin D. Roosevelt,44th  Governor of New York   ( 1929–1932 ),Democratic,John Nance Garner
32,33,"April 12, 1945","January 20, 1953",Harry S. Truman,34th  Vice President of the United States,Democratic,Office vacant
33,34,"January 20, 1953","January 20, 1961",Dwight D. Eisenhower,Supreme Allied Commander Europe   ( 1949–1952 ),Republican,Richard Nixon
34,35,"January 20, 1961","November 22, 1963",John F. Kennedy,U.S. Senator   ( Class 1 )   from  Massachusetts   (1953–1960),Democratic,Lyndon B. Johnson
35,36,"November 22, 1963","January 20, 1969",Lyndon B. Johnson,37th  Vice President of the United States,Democratic,Office vacant
36,37,"January 20, 1969","August 9, 1974",Richard Nixon,36th  Vice President of the United States   (1953–1961),Republican,Spiro Agnew
37,38,"August 9, 1974","January 20, 1977",Gerald Ford,40th  Vice President of the United States,Republican,Office vacant
38,39,"January 20, 1977","January 20, 1981",Jimmy Carter,76th  Governor of Georgia   (1971–1975),Democratic,Walter Mondale
39,40,"January 20, 1981","January 20, 1989",Ronald Reagan,33rd  Governor of California   ( 1967–1975 ),Republican,George H. W. Bush
40,41,"January 20, 1989","January 20, 1993",George H. W. Bush,43rd  Vice President of the United States,Republican,Dan Quayle
41,42,"January 20, 1993","January 20, 2001",Bill Clinton,40th & 42nd  Governor of Arkansas   (1979–1981 & 1983–1992),Democratic,Al Gore
42,43,"January 20, 2001","January 20, 2009",George W. Bush,46th  Governor of Texas   ( 1995–2000 ),Republican,Dick Cheney
43,44,"January 20, 2009",,Barack Obama,U.S. Senator   ( Class 3 )   from  Illinois   ( 2005–2008 ),Democratic,Joe Biden
44,45,"January 20, 2017",--,Donald Trump,Chairman of   The Trump Organization   ( 1971–present ),Republican,Mike Pence
